City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,batagay,67.6333,134.6333,-11.66,95,100,1.72,RU,1681851705
84,hasaki,35.7333,140.8333,9.56,85,10,4.23,JP,1681851705
85,thompson,55.7435,-97.8558,-1.0,79,69,4.21,CA,1681851705
86,katherine,-14.4667,132.2667,15.18,88,46,1.54,AU,1681851705
87,uddevalla,58.3478,11.9424,6.66,68,99,2.33,SE,1681851705
88,mandalgovi,45.7625,106.2708,5.29,35,100,13.21,MN,1681851705
89,fairbanks,64.8378,-147.7164,-3.02,56,100,6.69,US,1681851705
90,kavieng,-2.5744,150.7967,27.37,75,60,0.41,PG,1681851705
91,faya,18.3851,42.4509,15.29,59,0,0.6,SA,1681851705
92,hithadhoo,-0.6,73.0833,28.53,70,100,2.22,MV,1681851705
93,sept-iles,50.2001,-66.3821,1.29,96,100,10.29,CA,1681851705
94,fort nelson,58.8053,-122.7002,9.41,65,100,5.36,CA,1681851705
95,derzhavinsk,51.1,66.3167,2.87,91,100,3.62,KZ,1681851705
96,alyangula,-13.8483,136.4192,26.27,75,97,4.25,AU,1681851705
97,faanui,-16.4833,-151.75,28.55,74,53,6.9,PF,1681851705
98,abiramam,9.4667,78.45,28.87,70,2,2.59,IN,1681851705
99,port elizabeth,-33.918,25.5701,17.83,98,0,0.89,ZA,1681851705
100,bengkulu,-3.8004,102.2655,24.65,89,100,1.51,ID,1681851705
101,ugoofaaru,5.6667,73.0,28.25,70,49,0.81,MV,1681851705
102,te anau,-45.4167,167.7167,8.57,89,13,0.32,NZ,1681851705
103,bluff,-46.6,168.3333,11.56,82,99,3.76,NZ,1681851705
104,deloraine,-41.5333,146.6667,10.44,15,81,1.45,AU,1681851705
105,new norfolk,-42.7826,147.0587,11.72,76,59,0.45,AU,1681851705
106,san juan de planes,14.9333,-88.7833,32.06,35,40,2.57,HN,1681851705
107,iquique,-20.2208,-70.1431,22.02,75,48,4.41,CL,1681851705
108,kharp,66.8014,65.8081,-11.75,75,53,4.38,RU,1681851705
109,qaanaaq,77.484,-69.3632,-14.9,80,0,1.83,GL,1681851705
110,bredasdorp,-34.5322,20.0403,14.91,90,60,1.65,ZA,1681851705
111,springbok,-29.6643,17.8865,21.5,26,36,0.12,ZA,1681851705
112,bagdarin,54.4333,113.6,-6.96,87,100,1.61,RU,1681851705
113,odesskoye,54.2111,72.9651,-4.73,48,0,2.08,RU,1681851705
114,moyale,3.5167,39.0584,19.65,86,94,1.11,KE,1681851705
115,port hardy,50.6996,-127.4199,7.61,66,96,5.83,CA,1681851705
116,kungurtug,50.5994,97.5228,-10.5,87,34,0.95,RU,1681851705
117,carnarvon,-24.8667,113.6333,22.73,36,6,7.37,AU,1681851705
118,muros,42.7762,-9.0603,14.91,63,46,1.88,ES,1681851705
119,kaitangata,-46.2817,169.8464,12.55,83,97,3.84,NZ,1681851705
120,chapais,49.7834,-74.8492,3.88,70,98,2.86,CA,1681851705
121,kagoro,9.6,8.3833,24.26,65,100,1.39,NG,1681851705
122,rocha,-34.4833,-54.3333,13.35,63,12,5.77,UY,1681851705
123,cape town,-33.9258,18.4232,18.54,73,30,2.24,ZA,1681851705
124,raga,8.4596,25.678,27.99,41,10,1.73,SS,1681851705
125,burnie,-41.0667,145.9167,11.92,87,89,5.09,AU,1681851705
126,provideniya,64.3833,-173.3,-2.94,80,100,1.0,RU,1681851705
127,codrington,-38.2667,141.9667,12.52,69,97,6.03,AU,1681851705
128,kaffrine,14.1059,-15.5508,33.99,23,100,7.99,SN,1681851705
129,waipawa,-41.4122,175.5153,13.81,97,100,2.47,NZ,1681851705
130,rio gallegos,-51.6226,-69.2181,9.82,72,98,5.8,AR,1681851705
131,tessalit,20.1986,1.0114,30.61,6,100,3.34,ML,1681851705
132,lavrentiya,65.5833,-171.0,-6.11,93,97,2.01,RU,1681851705
133,bubaque,11.2833,-15.8333,25.95,75,100,8.44,GW,1681851705
134,mongo,12.1844,18.693,34.76,23,93,2.75,TD,1681851705
135,aklavik,68.2191,-135.0107,-12.77,89,100,6.26,CA,1681851705
